artifact_id,plant_type,dataset,platform,data_type,chart_answer_type,difficulty,query_type,shortcut_risk,notes
ss_02481947,screenshot,ScreenSpot,shop,icon,,hard,gist,low,
ss_059f92d6,screenshot,ScreenSpot,macos,text,,medium,gist,high,
ss_086ba1fd,screenshot,ScreenSpot,android,icon,,medium,detail,low,
ss_0a1a85ae,screenshot,ScreenSpot,ios,text,,easy,detail,medium,
ss_102dfb65,screenshot,ScreenSpot,ios,icon,,medium,detail,low,
ss_136561c2,screenshot,ScreenSpot,android,text,,medium,gist,high,
ss_1bbf799b,screenshot,ScreenSpot,gitlab,text,,medium,gist,high,
ss_1bd4530e,screenshot,ScreenSpot,ios,text,,medium,gist,high,
ss_2592fc68,screenshot,ScreenSpot,android,text,,medium,gist,high,
ss_324e28cd,screenshot,ScreenSpot,android,text,,medium,gist,high,
ss_36316571,screenshot,ScreenSpot,shop,icon,,hard,detail,low,
ss_3af11f8d,screenshot,ScreenSpot,tool,icon,,easy,exact,low,
ss_4e92e2b5,screenshot,ScreenSpot,tool,text,,easy,exact,medium,
ss_5148ae23,screenshot,ScreenSpot,forum,text,,medium,gist,high,
ss_52c97707,screenshot,ScreenSpot,windows,icon,,hard,gist,low,
ss_55a5df96,screenshot,ScreenSpot,ios,text,,medium,gist,high,
ss_55fde34f,screenshot,ScreenSpot,tool,text,,easy,exact,medium,
ss_5b81bb14,screenshot,ScreenSpot,android,text,,easy,exact,medium,
ss_684706c3,screenshot,ScreenSpot,android,icon,,hard,gist,low,
ss_6ed922bf,screenshot,ScreenSpot,android,icon,,hard,gist,low,
ss_6fb5ef19,screenshot,ScreenSpot,windows,text,,medium,gist,high,
ss_750d306a,screenshot,ScreenSpot,ios,icon,,hard,detail,low,
ss_7ad250dc,screenshot,ScreenSpot,forum,text,,easy,detail,medium,
ss_7cafc132,screenshot,ScreenSpot,android,icon,,hard,detail,low,
ss_829f2b29,screenshot,ScreenSpot,windows,icon,,hard,gist,low,
ss_86232f5d,screenshot,ScreenSpot,macos,text,,easy,detail,medium,
ss_8b99d164,screenshot,ScreenSpot,ios,icon,,hard,gist,low,
ss_8e9648bf,screenshot,ScreenSpot,shop,text,,medium,gist,high,
ss_8fd44acf,screenshot,ScreenSpot,ios,icon,,hard,gist,low,
ss_9e47c63d,screenshot,ScreenSpot,ios,text,,easy,detail,medium,
ss_a1343dac,screenshot,ScreenSpot,ios,icon,,medium,detail,low,
ss_a9df9439,screenshot,ScreenSpot,windows,text,,medium,gist,high,
ss_b433de62,screenshot,ScreenSpot,shop,text,,easy,detail,medium,
ss_b68c4825,screenshot,ScreenSpot,forum,icon,,medium,exact,low,
ss_bd878c61,screenshot,ScreenSpot,android,text,,easy,detail,medium,
ss_be163840,screenshot,ScreenSpot,windows,text,,easy,detail,medium,
ss_c0b4da4b,screenshot,ScreenSpot,tool,icon,,easy,exact,low,
ss_c40b254e,screenshot,ScreenSpot,ios,text,,medium,gist,high,
ss_c98053a3,screenshot,ScreenSpot,macos,icon,,hard,gist,low,
ss_da258d02,screenshot,ScreenSpot,tool,icon,,medium,detail,low,
ss_da7c52c0,screenshot,ScreenSpot,gitlab,text,,easy,detail,medium,
ss_dc9dba6e,screenshot,ScreenSpot,windows,icon,,hard,detail,low,
ss_dd2168ec,screenshot,ScreenSpot,forum,icon,,hard,detail,low,
ss_e26a2390,screenshot,ScreenSpot,shop,text,,medium,gist,high,
ss_ead3add4,screenshot,ScreenSpot,macos,icon,,hard,gist,low,
ss_ed5f209a,screenshot,ScreenSpot,macos,icon,,hard,detail,low,
ss_f2e5693c,screenshot,ScreenSpot,macos,text,,medium,gist,high,
ss_f57bc5e3,screenshot,ScreenSpot,macos,text,,easy,detail,medium,
ss_f5a76bf0,screenshot,ScreenSpot,tool,text,,medium,gist,high,
ss_ffe1dae4,screenshot,ScreenSpot,gitlab,icon,,hard,gist,low,
cqa_00389f10,chart_image,ChartQA,,,numeric,easy,exact,high,
cqa_07af044c,chart_image,ChartQA,,,numeric,hard,exact,low,
cqa_0bd6d983,chart_image,ChartQA,,,numeric,medium,exact,medium,
cqa_10495698,chart_image,ChartQA,,,text,medium,detail,medium,
cqa_2a765b55,chart_image,ChartQA,,,numeric,hard,detail,low,
cqa_2b1a6285,chart_image,ChartQA,,,numeric,medium,exact,medium,
cqa_2e2990c3,chart_image,ChartQA,,,text,medium,exact,medium,
cqa_3398368f,chart_image,ChartQA,,,text,medium,detail,medium,
cqa_38385c6d,chart_image,ChartQA,,,numeric,medium,exact,medium,
cqa_3dd0635a,chart_image,ChartQA,,,numeric,medium,exact,medium,
cqa_3fc33fc1,chart_image,ChartQA,,,numeric,hard,exact,low,
cqa_47f10126,chart_image,ChartQA,,,numeric,medium,exact,medium,
cqa_4a2752b6,chart_image,ChartQA,,,numeric,easy,gist,high,
cqa_536c64e4,chart_image,ChartQA,,,numeric,hard,exact,low,
cqa_5a73bdfa,chart_image,ChartQA,,,numeric,medium,exact,medium,
cqa_63a26951,chart_image,ChartQA,,,numeric,medium,exact,medium,
cqa_64c9a88f,chart_image,ChartQA,,,text,medium,exact,medium,
cqa_6651a631,chart_image,ChartQA,,,numeric,medium,exact,medium,
cqa_718579c7,chart_image,ChartQA,,,numeric,medium,exact,medium,
cqa_75263bfe,chart_image,ChartQA,,,numeric,medium,exact,medium,
cqa_75e9b570,chart_image,ChartQA,,,numeric,easy,detail,high,
cqa_7ba81480,chart_image,ChartQA,,,numeric,hard,detail,low,
cqa_84168e0f,chart_image,ChartQA,,,numeric,easy,exact,high,
cqa_8ae2f66f,chart_image,ChartQA,,,numeric,medium,detail,medium,
cqa_92d6ef9a,chart_image,ChartQA,,,numeric,hard,exact,low,
cqa_94570a73,chart_image,ChartQA,,,numeric,medium,exact,medium,
cqa_9617f5a4,chart_image,ChartQA,,,numeric,hard,exact,low,
cqa_9e4ed687,chart_image,ChartQA,,,numeric,medium,detail,medium,
cqa_9f9df328,chart_image,ChartQA,,,numeric,hard,exact,low,
cqa_a158e44b,chart_image,ChartQA,,,numeric,medium,exact,medium,
cqa_a9fefe07,chart_image,ChartQA,,,numeric,medium,exact,medium,
cqa_ae48189c,chart_image,ChartQA,,,numeric,medium,exact,medium,
cqa_b4ac27fd,chart_image,ChartQA,,,numeric,medium,exact,medium,
cqa_b4cae43a,chart_image,ChartQA,,,numeric,hard,exact,low,
cqa_b7d08b72,chart_image,ChartQA,,,numeric,easy,exact,high,
cqa_ba179c65,chart_image,ChartQA,,,numeric,medium,detail,medium,
cqa_ba26924a,chart_image,ChartQA,,,text,medium,gist,medium,
cqa_bc8141d9,chart_image,ChartQA,,,numeric,hard,detail,low,
cqa_be2593ee,chart_image,ChartQA,,,text,medium,exact,medium,
cqa_c44218b6,chart_image,ChartQA,,,numeric,hard,exact,low,
cqa_d44f98b3,chart_image,ChartQA,,,numeric,medium,detail,medium,
cqa_d519231e,chart_image,ChartQA,,,numeric,medium,exact,medium,
cqa_d65119a1,chart_image,ChartQA,,,numeric,hard,exact,low,
cqa_de346e80,chart_image,ChartQA,,,text,medium,exact,medium,
cqa_e6d9d582,chart_image,ChartQA,,,numeric,medium,detail,medium,
cqa_ef1f684a,chart_image,ChartQA,,,numeric,hard,exact,low,
cqa_f2b6f157,chart_image,ChartQA,,,numeric,easy,detail,high,
cqa_f4d875f5,chart_image,ChartQA,,,numeric,easy,detail,high,
cqa_f9373912,chart_image,ChartQA,,,numeric,hard,exact,low,
cqa_fcbbc7b0,chart_image,ChartQA,,,numeric,medium,exact,medium,
